playerID,season,games,wins,losses,ot_losses,shutouts 
8471239,20082009,8,2,4,1,0
8471239,20092010,2,0,1,0,0
8471239,20102011,25,16,4,2,1
8471239,20112012,33,20,8,1,3
8471239,20122013,30,17,9,4,5
8471239,20132014,45,16,15,12,3
8471239,20142015,69,26,31,9,5
8471239,20152016,58,27,25,6,4
8471239,20162017,60,20,27,11,2
8471239,20172018,40,17,16,6,1
8471239,20182019,26,6,13,4,1
8478406,20182019,23,10,10,0,2
8471306,20072008,3,0,1,1,0
8471306,20092010,16,7,4,1,0
8471306,20112012,19,9,7,1,0
8471306,20122013,6,1,4,0,1
8471306,20132014,25,10,8,5,2
8471306,20142015,20,9,6,3,0
8471306,20152016,41,23,11,4,1
8471306,20162017,51,26,18,5,3
8471306,20172018,27,13,8,2,1
8471306,20182019,43,23,14,2,5
8473575,20082009,6,4,0,1,0
8473575,20092010,26,15,4,6,2
8473575,20102011,27,11,9,5,2
8473575,20112012,53,26,24,3,4
8473575,20122013,35,11,21,3,3
8473575,20132014,63,41,14,6,2
8473575,20142015,57,28,20,8,5
8473575,20152016,57,27,25,3,2
8473575,20162017,24,6,17,0,1
8473575,20172018,51,24,16,6,2
8473575,20182019,49,20,19,9,2
8468685,20052006,53,30,12,9,2
8468685,20062007,70,37,22,8,5
8468685,20072008,72,37,24,10,10
8468685,20082009,70,38,25,7,3
8468685,20092010,73,35,27,10,4
8468685,20102011,68,36,27,5,11
8468685,20112012,62,39,18,5,8
8468685,20122013,43,24,16,3,2
8468685,20132014,63,33,24,5,5
8468685,20142015,46,30,13,3,5
8468685,20152016,65,35,21,7,4
8468685,20162017,57,31,20,4,2
8468685,20172018,63,26,26,7,2
8468685,20182019,52,18,23,10,0
8480382,20172018,10,4,4,1,0
8480382,20182019,33,14,13,4,2
8470880,20072008,1,1,0,0,0
8470880,20082009,31,16,8,3,1
8470880,20092010,55,29,18,4,5
8470880,20102011,43,13,19,8,3
8470880,20102011,12,2,8,1,0
8470880,20112012,38,23,10,4,9
8470880,20122013,24,14,8,1,3
8470880,20132014,31,18,6,2,4
8470880,20142015,46,26,14,3,5
8470880,20152016,42,23,8,6,4
8470880,20162017,49,26,18,3,2
8470880,20172018,43,23,11,7,1
8470880,20182019,26,11,11,1,1
8479394,20182019,31,16,13,1,0
