playerID,team_id,fullName,posType,position 
8475791,1,Taylor Hall,Forward,LW
8471226,1,Drew Stafford,Forward,RW
8471233,1,Travis Zajac,Forward,C
8471239,1,Cory Schneider,Goalie,G
8472382,1,Andy Greene,Defenseman,D
8475151,1,Kyle Palmieri,Forward,RW
8475222,1,Sami Vatanen,Defenseman,D
8475844,1,Kenny Agostino,Forward,LW
8476399,1,Blake Coleman,Forward,C
8476474,1,Stefan Noesen,Forward,RW
8476545,1,Kurtis Gabriel,Forward,RW
8476923,1,Damon Severson,Defenseman,D
8476941,1,Connor Carrick,Defenseman,D
8477355,1,Will Butcher,Defenseman,D
8477425,1,Miles Wood,Forward,LW
8477463,1,Steven Santini,Defenseman,D
8477509,1,Mirco Mueller,Defenseman,D
8478401,1,Pavel Zacha,Forward,C
8478406,1,Mackenzie Blackwood,Goalie,G
8479291,1,Kevin Rooney,Forward,C
8479407,1,Jesper Bratt,Forward,LW
8480002,1,Nico Hischier,Forward,C
8480948,1,Egor Yakovlev,Defenseman,D
8479206,2,Tanner Fritz,Forward,C
8469619,2,Dennis Seidenberg,Defenseman,D
8470047,2,Valtteri Filppula,Forward,C
8470187,2,Johnny Boychuk,Defenseman,D
8471217,2,Andrew Ladd,Forward,LW
8471306,2,Thomas Greiss,Goalie,G
8473463,2,Leo Komarov,Forward,RW
8473504,2,Cal Clutterbuck,Forward,RW
8474066,2,Thomas Hickey,Defenseman,D
8474573,2,Josh Bailey,Forward,RW
8474579,2,Luca Sbisa,Defenseman,D
8474586,2,Jordan Eberle,Forward,RW
8474709,2,Matt Martin,Forward,LW
8475181,2,Nick Leddy,Defenseman,D
8475215,2,Robin Lehner,Goalie,G
8475231,2,Casey Cizikas,Forward,C
8475314,2,Anders Lee,Forward,LW
8475754,2,Brock Nelson,Forward,C
8475832,2,Tom Kuhnhackl,Forward,RW
8476429,2,Scott Mayfield,Defenseman,D
8476917,2,Adam Pelech,Defenseman,D
8477506,2,Ryan Pulock,Defenseman,D
8477527,2,Ross Johnston,Forward,LW
8477936,2,Michael Dal Colle,Forward,LW
8478038,2,Devon Toews,Defenseman,D
8478445,2,Mathew Barzal,Forward,C
8478463,2,Anthony Beauvillier,Forward,LW
8468685,3,Henrik Lundqvist,Goalie,G
8471686,3,Marc Staal,Defenseman,D
8474031,3,Kevin Shattenkirk,Defenseman,D
8474090,3,Brendan Smith,Defenseman,D
8475184,3,Chris Kreider,Forward,LW
8475736,3,Connor Brickley,Forward,LW
8475855,3,Jesper Fast,Forward,RW
8476368,3,Fredrik Claesson,Defenseman,D
8476458,3,Ryan Strome,Forward,C
8476459,3,Mika Zibanejad,Forward,C
8476480,3,Vladislav Namestnikov,Forward,C
8476869,3,Brady Skjei,Defenseman,D
8476918,3,Jimmy Vesey,Forward,LW
8476922,3,Boo Nieves,Forward,C
8477402,3,Pavel Buchnevich,Forward,RW
8477950,3,Tony DeAngelo,Defenseman,D
8477962,3,Brendan Lemieux,Forward,LW
8479333,3,Libor Hajek,Defenseman,D
8479353,3,Brett Howden,Forward,C
8480072,3,Lias Andersson,Forward,C
8480078,3,Filip Chytil,Forward,C
8480145,3,Neal Pionk,Defenseman,D
8480382,3,Alexandar Georgiev,Goalie,G
8473607,4,Michal Neuvirth,Goalie,G
8475260,4,Corban Knight,Forward,C
8470880,4,Brian Elliott,Goalie,G
8473512,4,Claude Giroux,Forward,C
8473584,4,Andrew MacDonald,Defenseman,D
8474037,4,James van Riemsdyk,Forward,LW
8474161,4,Jakub Voracek,Forward,RW
8475321,4,Phil Varone,Forward,C
